活动 ID,活动日期,活动名称,活动类型,活动描述,全程耗时,距离,最大心率,相对负荷度,通勤,活动隐私说明,活动装备,文件名,运动达人体重,自行车重量,全程耗时,移动时间,距离,最大速度,平均速度,海拔爬升,降低海拔,低海拔,高海拔,最大坡度,平均坡度,平均坡度（正值）,平均坡度（负值）,最大踏频,平均踏频,最大心率,平均心率,最大瓦特数,平均瓦特数,卡路里,最高温度,平均温度,相对负荷度,总功,跑步次数,上坡时间,下坡时间,其它时间,感知负荷度,类型,开始时间,加权平均功率,功率计数,使用感知负荷度,感知的相对负荷度,通勤,举起的总重量,来自上传的活动,坡度调整距离,天气观测时间,天气状况,气温,表观温度,露点,潮湿,气压,风速,阵风,风向,降水强度,日出时间,日落时间,月相,自行车,装备,降水概率,降水类型,云盖,天气能见度,紫外线指数,臭氧预报数据,跳跃次数,总砂砾量,平均流量,已标记,平均经过速度,砾石路骑行距离,最近探索的距离,最近探索的泥土距离,活动数量,总步数,碳减排量,池长度,训练负荷,强度,坡度调整后平均配速,计时器时间,总骑行数,恢复,与宠同行,竞争,长跑,有意义,带着小孩,下坡距离,总组数,总次数,媒体
20058641549,2026年9月6日 10:12:40,温榆河绕圈后溜达骑,骑行,,1072,5,146,6,FALSE,,CAMP sr5,activities/21201617664.fit.gz,,10,1072,879,5003.1,9.6,5.692,5,7,8,19,36.4,0.1,,,93,70,146,132,,103,146,,28,6,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,4.667,0,,,,,0,,,,,,,,,,,,,,,,
20058641498,2026年9月6日 08:26:23,温榆河绕圈,骑行,,5968,40.2,166,115,FALSE,,CAMP sr5,activities/21201617601.fit.gz,,10,5968,5520,40207.5,14.34,7.284,14,13,-19,22,41.2,0,,,102,81,166,148,,138,1231,,27,115,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.737,0,,,,,0,,,,,,,,,,,,,,,,
19957826436,2026年8月30日 04:11:39,辐条断一根后溜达骑,骑行,,7210,32.09,143,19,FALSE,,CAMP sr5,activities/21095323649.fit.gz,,10,7210,5697,32092.5,20.529,5.633,46,46,4,43,40.7,-0.1,,,92,69,143,116,,89,918,,34,19,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,4.451,0,,,,,0,,,,,,,,,,,,,,,,
19945922153,2026年8月28日 22:23:25,大杨山-望百路-黑山寨烤肉-安四路,骑行,转了一圈，吃了烤肉，大杨山风景太美了。黑山寨的烤肉也不错。,38839,147.3,186,450,FALSE,,CAMP sr5,activities/21083056336.fit.gz,,10,38839,22924,147307.5,17.06,6.426,775,749,4,429,49.6,0,,,111,73,186,148,,124,4566,,27,450,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,3.793,0,,,,,0,,,,,,,,,,,,,,,,
19793830345,2026年8月18日 11:28:25,机场东路有氧 平均心率138,骑行,,6165,41.42,169,63,FALSE,,CAMP sr5,activities/20926861189.fit.gz,,10,6165,5800,41419.9,10.96,7.141,38,40,3,29,28,0,,,99,78,169,138,,126,1292,,25,63,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.719,0,,,,,0,,,,,,,,,,,,,,,,
19766221137,2026年8月16日 09:01:41,温榆河绕圈??2+机场东路有氧,骑行,,13127,87.69,166,225,FALSE,,CAMP sr5,activities/20898459132.fit.gz,,10,13127,12339,87694.9,9.84,7.107,53,59,-9,32,42,0,,,101,80,166,146,,127,2681,,23,225,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.68,0,,,,,0,,,,,,,,,,,,,,,,
19669469796,2026年8月8日 22:47:15,戒台寺-潭王路-妙峰山3连击,骑行,,55894,210.28,186,708,FALSE,,CAMP sr5,activities/20798438204.fit.gz,,10,55894,36039,210288.3,16.28,5.835,1825,1789,11,1025,48.5,0,,,121,72,186,146,,125,6550,,27,708,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,3.762,0,,,,,0,,,,,,,,,,,,,,,,
19612434735,2026年8月5日 11:36:19,机场东路有氧40公里,骑行,去程休闲骑，返程被一个穿红牛博拉队服的小子超了，猛蹬将其反超并且拉爆他。拉爆别人的感觉好爽啊??,5853,40.04,183,102,FALSE,,CAMP sr5,activities/20739081082.fit.gz,,10,5853,5623,40041.2,11.4,7.121,37,39,-8,38,19.9,0,,,112,80,183,147,,128,1261,,30,102,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.841,0,,,,,0,,,,,,,,,,,,,,,,
19558158680,2026年7月31日 22:18:54,环密云水库100公里+160公里通州往返,骑行,3周没骑车，被好兄弟拉爆的一天,63122,260.07,186,807,FALSE,,CAMP sr5,activities/20682740350.fit.gz,,10,63122,41664,260073.8,15.36,6.242,1259,1272,4,267,49.5,0,,,129,71,186,147,,114,8044,,30,807,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,4.12,0,,,,,0,,,,,,,,,,,,,,,,
19280334783,2026年7月12日 08:05:18,温榆河绕圈×3,骑行,,10258,71.14,179,220,FALSE,,CAMP sr5,activities/20398458137.fit.gz,,10,10258,9507,71147.3,10.9,7.484,18,19,-9,33,49.2,0,,,102,83,179,152,,148,2194,,27,220,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.936,0,,,,,0,,,,,,,,,,,,,,,,
19264736948,2026年7月11日 05:14:24,温榆河绕圈x2,骑行,,8455,60.04,176,215,FALSE,,CAMP sr5,activities/20382582494.fit.gz,,10,8455,7991,60044.6,11.92,7.514,17,19,-10,29,25.9,0,,,105,84,176,155,,144,1825,,26,215,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,7.102,0,,,,,0,,,,,,,,,,,,,,,,
19228677938,2026年7月8日 11:32:50,机场东路-有氧41公里,骑行,,5870,41.21,188,99,FALSE,,CAMP sr5,activities/20345904256.fit.gz,,10,5870,5504,41218.4,11.16,7.489,40,43,8,29,12,0,,,100,81,188,146,,133,1315,,28,99,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,7.022,0,,,,,0,,,,,,,,,,,,,,,,
19208670608,2026年7月4日 10:58:52,30公里/h后溜达骑,骑行,,1021,5.14,171,12,FALSE,,CAMP sr5,activities/20325625098.fit.gz,,10,1021,978,5144.4,7.5,5.26,8,7,6,14,27.3,0.1,,,85,66,171,142,,73,141,,29,12,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,5.039,0,,,,,0,,,,,,,,,,,,,,,,
19175114290,2026年7月4日 09:51:39,午后骑行,骑行,,4011,30.07,191,226,FALSE,,CAMP sr5,activities/20291493348.fit.gz,,10,4011,3566,30078.8,10.28,8.435,14,11,-19,22,15.3,0,,,107,88,191,180,,176,1018,,30,226,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,7.499,0,,,,,0,,,,,,,,,,,,,,,,
19098405816,2026年6月28日 08:06:07,二刷首钢大桥,骑行,,17595,90.1,188,322,FALSE,,CAMP sr5,activities/20213643307.fit.gz,,10,17595,13749,90106.9,16.42,6.554,75,86,12,87,45.8,0,,,124,78,188,152,,118,2745,,31,322,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,5.121,0,,,,,0,,,,,,,,,,,,,,,,
19049416545,2026年6月24日 11:53:57,机场东路-日常40公里有氧,骑行,,6295,40.05,160,69,FALSE,,CAMP sr5,activities/20163861114.fit.gz,,10,6295,5704,40056.8,9.64,7.023,42,42,11,35,16.4,-0.1,,,107,81,160,139,,115,1238,,22,69,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.363,0,,,,,0,,,,,,,,,,,,,,,,
19035588321,2026年6月23日 11:54:22,下班休闲骑,骑行,本来要骑机场东路，骑到一半地上都是水，去公园里骑了好几圈,4398,27.02,162,29,FALSE,,CAMP sr5,activities/20149834356.fit.gz,,10,4398,4271,27028,10.24,6.328,46,51,7,24,19.8,0,,,110,75,162,128,,100,809,,21,29,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.146,0,,,,,0,,,,,,,,,,,,,,,,
18957775361,2026年6月17日 11:41:21,机场东路-有氧溜腿,骑行,,5821,40.1,164,65,FALSE,,CAMP sr5,activities/20070831084.fit.gz,,10,5821,5473,40107.5,11.02,7.328,42,51,8,38,20.8,0,,,118,82,164,139,,128,1269,,25,65,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.89,0,,,,,0,,,,,,,,,,,,,,,,
18903064301,2026年6月13日 07:17:38,雨战首钢大桥,骑行,,19257,90.04,191,276,FALSE,,CAMP sr5,activities/20015302593.fit.gz,,10,19257,13298,90043.6,18.587,6.771,120,126,7,93,46.7,0,,,130,79,191,149,,125,2801,,22,276,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,4.676,0,,,,,0,,,,,,,,,,,,,,,,
18819281157,2026年6月7日 00:12:16,通州-雁西湖-京加路-雨战,骑行,"今天的目的地本来是雁西湖，到地方一看关了，顺着京加路骑了段距离，出了平原就开始爬坡，爬了好久，中间还下一阵大雨，在树下躲会雨。到达冷水峪开始返程，放坡下来的时候太爽了。
返程一路雨骑，身上快干的时候到顺义又下了，从顺义到通州身上都快干了，通州一点雨没下。
",27507,132.08,179,259,FALSE,,CAMP sr5,activities/19930118519.fit.gz,,10,27507,20137,132078.6,15.44,6.559,628,714,-5,269,49.5,0,,,125,72,179,139,,116,4014,,21,259,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,2,4.802,0,,,,,0,,,,,,,,,,,,,,,,media/fe593484-ab24-48d0-91e5-e37546246c44.jpg|media/e9f08946-dfcb-4c38-aba4-ca6b8cdcea88.jpg|media/830cffaa-f9b7-49b0-b9f2-d4bb851a0319.jpg|media/e756cfb3-e1b0-483e-a6b0-50181990847d.jpg|media/967e322d-4757-4059-abc4-5c6dbbb6b96f.jpg|media/b15854b9-f163-4020-8532-57ab970267e4.jpg|media/accc246c-940f-4ede-8a66-0f0ee89a97e2.jpg|media/a56c7ad6-02da-4774-935c-74dc7958f307.jpg
18715407394,2026年5月30日 01:17:26,北京通州-天津之眼-220公里往返,骑行,"整体感觉:最累也是最爽的一次长途骑行

北京到天津:休闲骑，快到天津之眼的时候碰到个骑友搭伴给对方拍了照片。

天津到北京:手机放兜里，导航的时候只听声音，走错了好几个立交桥辅道，绕了5公里左右。阴差阳错碰到了2个回北京的骑友，一起骑回来了，一开始强度不大，35°骑不动。后来凉快下来稳定30+巡航。

要是碰不到他俩我休闲骑回来指不定几点了

还是组队骑车有意思，之前都是单飞",42744,220.31,182,814,FALSE,,CAMP sr5,activities/19824289947.fit.gz,,10,42744,31446,220309.1,11.12,7.006,261,255,-20,26,49.1,0,,,114,80,182,154,,121,6833,,34,814,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,5.154,0,,,,,0,,,,,,,,,,,,,,,,media/d116cbd4-fb28-490a-9b43-a054f4c1e0f4.jpg|media/f59d6ba3-d905-4fcb-8211-a52132f60ac8.jpg|media/843317bd-7a7a-444b-9c74-738705d0e6a0.jpg
18661038476,2026年5月26日 11:32:34,机场东路有氧40公里,骑行,,5994,40.1,158,34,FALSE,,CAMP sr5,activities/19768929293.fit.gz,,10,5994,5698,40102.7,9.88,7.038,42,40,-9,31,27.9,0,,,113,80,158,129,,121,1230,,20,34,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,6.69,0,,,,,0,,,,,,,,,,,,,,,,
18620880113,2026年5月23日 03:10:27,通州-密云水库骑行,骑行,这次约了大学舍友一起骑的，这路线骑了好多次了??,33399,167.23,182,481,FALSE,,CAMP sr5,activities/19727924264.fit.gz,,10,33399,24447,167234.6,17.18,6.841,368,377,-5,192,46.3,0,,,137,79,182,148,,119,5191,,25,481,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,5.007,0,,,,,0,,,,,,,,,,,,,,,,media/e0cdca47-626c-4414-a98c-aee709c8c27d.jpg|media/af469b6e-da5f-4249-b3f3-dfd98de1f926.jpg
18567238171,2026年5月19日 11:33:32,傍晚 骑行,骑行,,643,3.56,133,2,FALSE,,CAMP sr5,activities/19673432316.fit.gz,,10,643,605,3561.2,9.3,5.886,2,7,15,28,22.2,-0.1,,,95,71,133,122,,109,103,,24,2,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,15903493,,,,,,,,,,,,5.538,0,,,,,0,,,,,,,,,,,,,,,,
